板块名称,时间,名称,相关信息,类型,四舍五入取整,上下午,时间排序
体育产业,13:10,泰慕士,+5.69%,60日大幅上涨,6,下午,790
水产养殖,13:10,东方海洋,+3.44%,火箭发射,3,下午,790
减速器,13:10,明阳科技,-4.58%,快速反弹,-5,下午,790
光刻机(胶),13:11,蓝英装备,+1.23%,快速反弹,1,下午,791
海工装备,13:11,屹通新材,-0.51%,快速反弹,-1,下午,791
充电桩,13:11,海昌新材,+13.60%,火箭发射,14,下午,791
空气能热泵,13:11,大元泵业,+3.27%,火箭发射,3,下午,791
农业种植,13:12,泰福泵业,+4.34%,火箭发射,4,下午,792
白酒,13:12,泸州老窖,+2.95%,60日大幅上涨,3,下午,792
减速器,13:12,明阳科技,-3.87%,快速反弹,-4,下午,792
海工装备,13:12,屹通新材,+1.46%,快速反弹,1,下午,792
工业母机,13:12,恒而达,+0.50%,快速反弹,0,下午,792
水产养殖,13:12,开创国际,+6.06%,火箭发射,6,下午,792
,13:12,云中马,+4.86%,火箭发射,5,下午,792
创业板综,13:12,金春股份,+6.86%,火箭发射,7,下午,792
独家药品,13:13,小方制药,+9.39%,火箭发射,9,下午,793
旅游概念,13:13,盈新发展,+3.61%,60日大幅上涨,4,下午,793
粮食概念,13:13,隆平高科,+1.49%,60日大幅上涨,1,下午,793
创业板综,13:14,金春股份,+8.47%,火箭发射,8,下午,794
海工装备,13:14,屹通新材,+3.29%,快速反弹,3,下午,794
消毒剂,13:14,英科医疗,+4.38%,60日大幅上涨,4,下午,794
减速器,13:14,优德精密,-3.29%,快速反弹,-3,下午,794
PCB,13:15,广合科技,+0.92%,快速反弹,1,下午,795
充电桩,13:15,海昌新材,+15.55%,火箭发射,16,下午,795
消毒剂,13:15,英科医疗,+5.41%,火箭发射,5,下午,795
华为海思,13:15,卓易信息,+11.24%,火箭发射,11,下午,795
建筑节能,13:15,江河集团,+3.80%,火箭发射,4,下午,795
减速器,13:16,优德精密,-3.60%,快速反弹,-4,下午,796
碳交易,13:16,濮耐股份,+5.50%,火箭发射,5,下午,796
消毒剂,13:16,英科医疗,+6.77%,火箭发射,7,下午,796
海工装备,13:16,长飞光纤,+9.23%,火箭发射,9,下午,796
体育产业,13:17,三柏硕,+1.84%,快速反弹,2,下午,797
创业板综,13:17,金春股份,+12.16%,火箭发射,12,下午,797
青蒿素,13:17,浙江医药,+7.44%,火箭发射,7,下午,797
LED,13:17,欧普照明,+3.10%,60日大幅上涨,3,下午,797
旅游概念,13:17,大连圣亚,-2.11%,快速反弹,-2,下午,797
消毒剂,13:17,英科医疗,+7.80%,火箭发射,8,下午,797
预亏预减,13:18,和泰机电,+0.04%,快速反弹,0,下午,798
煤化工,13:18,宝丰能源,+2.82%,60日大幅上涨,3,下午,798
维生素,13:18,卫信康,+2.96%,火箭发射,3,下午,798
旅游概念,13:19,大连圣亚,-1.26%,快速反弹,-1,下午,799
养老概念,13:19,延华智能,-2.31%,快速反弹,-2,下午,799
海洋经济,13:19,深水海纳,+5.26%,火箭发射,5,下午,799
微盘股,13:19,磁谷科技,+7.81%,火箭发射,8,下午,799
粮食概念,13:20,康农种业,+3.65%,火箭发射,4,下午,800
青蒿素,13:20,浙江医药,+8.34%,火箭发射,8,下午,800
中药概念,13:20,安科生物,+2.93%,火箭发射,3,下午,800
消毒剂,13:20,英科医疗,+9.16%,火箭发射,9,下午,800
养老概念,13:21,延华智能,-1.03%,快速反弹,-1,下午,801
维生素,13:21,天新药业,+2.49%,60日大幅上涨,2,下午,801
创业板综,13:21,金春股份,+13.96%,火箭发射,14,下午,801
维生素,13:21,卫信康,+4.48%,火箭发射,4,下午,801
海洋经济,13:22,邵阳液压,+4.25%,火箭发射,4,下午,802
新零售,13:22,欣贺股份,-6.33%,快速反弹,-6,下午,802
低碳冶金,13:22,八一钢铁,+8.35%,火箭发射,8,下午,802
快递概念,13:23,绿通科技,+3.00%,火箭发射,3,下午,803
在线教育,13:23,方直科技,+1.86%,快速反弹,2,下午,803
海洋经济,13:23,邵阳液压,+6.54%,火箭发射,7,下午,803
机器视觉,13:23,思林杰,+5.92%,火箭发射,6,下午,803
海洋经济,13:23,厦门港务,+4.48%,火箭发射,4,下午,803
中药概念,13:23,安科生物,+4.29%,火箭发射,4,下午,803
免疫治疗,13:23,康泰生物,+2.25%,火箭发射,2,下午,803
创业板综,13:24,金春股份,+15.69%,火箭发射,16,下午,804
在线教育,13:24,方直科技,+1.32%,快速反弹,1,下午,804
低碳冶金,13:24,八一钢铁,+9.34%,火箭发射,9,下午,804
体育产业,13:24,舒华体育,+6.22%,火箭发射,6,下午,804
数字阅读,13:24,新华文轩,+2.12%,60日大幅上涨,2,下午,804
养老概念,13:25,柳钢股份,-0.29%,快速反弹,0,下午,805
海洋经济,13:25,盖世食品,+3.23%,火箭发射,3,下午,805
碳交易,13:25,濮耐股份,+6.69%,60日大幅上涨,7,下午,805
低碳冶金,13:25,八一钢铁,+9.83%,火箭发射,10,下午,805
新型工业化,13:25,工业富联,+5.80%,火箭发射,6,下午,805
快递概念,13:25,绿通科技,+4.16%,火箭发射,4,下午,805
海洋经济,13:26,厦门港务,+5.58%,60日大幅上涨,6,下午,806
体育产业,13:26,金陵体育,+9.55%,火箭发射,10,下午,806
体育产业,13:26,粤 传 媒,+3.63%,火箭发射,4,下午,806
中药概念,13:27,安科生物,+6.07%,火箭发射,6,下午,807
创业板综,13:27,金春股份,+17.92%,火箭发射,18,下午,807
体育产业,13:27,金陵体育,+12.42%,火箭发射,12,下午,807
ST股,13:27,*ST松发,+4.43%,60日大幅上涨,4,下午,807
专精特新,13:27,大禹生物,+7.16%,60日大幅上涨,7,下午,807
工业大麻,13:27,德展健康,+4.99%,火箭发射,5,下午,807
海洋经济,13:28,深水海纳,+7.39%,火箭发射,7,下午,808
海洋经济,13:28,厦门港务,+6.55%,火箭发射,7,下午,808
建筑节能,13:28,*ST金刚,+1.79%,快速反弹,2,下午,808
体育产业,13:29,康力源,+5.38%,火箭发射,5,下午,809
新型工业化,13:29,工业富联,+7.25%,火箭发射,7,下午,809
海洋经济,13:29,深水海纳,+8.93%,火箭发射,9,下午,809
中药概念,13:30,金陵药业,+2.49%,60日大幅上涨,2,下午,810
抽水蓄能,13:30,三峡能源,+1.15%,60日大幅上涨,1,下午,810
可燃冰,13:31,神开股份,+3.31%,火箭发射,3,下午,811
煤化工,13:31,中国神华,+2.75%,60日大幅上涨,3,下午,811
碳纤维,13:31,和顺科技,+3.74%,火箭发射,4,下午,811
新型工业化,13:31,工业富联,+8.27%,火箭发射,8,下午,811
海工装备,13:32,克莱特,+2.42%,火箭发射,2,下午,812
